Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Kobus megaceros,Male,Surgical,0,1,5,0,0,0,12,18,24,10,6,1,0,0,69,110,0,0.125,0.142857143,0,NA,0,0.111111111,0.052978056,0.075471698,0,0,NA,0,0.272571899,0,0.125,0.142857143,0,NA,0,0.717813051,0.26867032,0.11618571,0.018181818,0,NA,0,0.616621771,0,0.125,0.285714286,0,NA,0,0.811875367,0.531273448,0.250679189,0.184335664,0.058823529,NA,0,0.850050877
Lama glama,Male,Surgical,0,2,7,5,0,0,33,47,11,11,17,13,0,0,126,178,0,0.1,0,0.111111111,NA,0,0.076923077,0.119641394,0.141225441,0.068685776,0.048959608,NA,0,0.752804497,0,0.140909091,0.181538462,0.111111111,NA,0,0.664744639,0.209779836,0.188308834,0.164652113,0.178392501,NA,0,0.915708452,0,0.140909091,0.420952381,0.259259259,NA,0,0.876161828,0.242705676,0.295001718,0.395145417,0.312262814,NA,0,0.969862491
Lama guanicoe,Male,Surgical,0,1,2,0,0,0,10,13,8,7,7,2,0,0,59,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemur catta,Female,Hormonal,9,8,13,8,0,0,43,81,86,81,55,27,11,0,426,686,0.077597348,0,0.048444976,0,0,0,0.118087681,0.185130735,0.127778208,0.032413223,0.03332282,0.023376123,0,0.481813635,0.141043033,0.112195122,0.114050764,0.053323594,0,0,0.430164674,0.350863647,0.306171792,0.203210318,0.101782925,0.047422784,0,0.826770067,0.268295917,0.241781548,0.409095621,0.312128704,0,0,0.806850288,0.375838369,0.447429568,0.456682513,0.251337715,0.069575743,0,0.965302236
Lemur catta,Female,Surgical,0,4,4,2,0,0,9,19,95,85,64,33,11,0,460,748,0,0.6,0.5,0,0,0,0,0.17200839,0.103874865,0.031671712,0.028723418,0.020497525,0,0.433231348,0,0.65,0.5,0,0,0,0.50617284,0.319582948,0.26804517,0.183214429,0.089595916,0.039442638,0,0.781744856,0,0.65,0.875,0.6,0,0,0.647266314,0.363471895,0.415082221,0.430313522,0.251863405,0.056916061,0,0.950256486
Lemur catta,Male,Surgical,4,7,4,5,0,0,22,42,65,88,50,31,0,0,400,634,0.071428571,0.191111111,0.147928994,0,NA,0,0.133333333,0.141793986,0.208177339,0.048572732,0.038083723,NA,0,0.555410073,0.222407407,0.383703704,0.192774836,0.083333333,NA,0,0.573096193,0.287147663,0.391881294,0.133347286,0.114789176,NA,0,0.855077865,0.222407407,0.383703704,0.2600436,0.619753086,NA,0,1,0.401268549,0.449397097,0.389832693,0.239193295,NA,0,0.960559089
Leontopithecus chrysomelas,Female,Hormonal,1,3,1,3,0,0,15,23,13,12,10,4,7,0,80,126,0.1,0,0,0,0,0,0.076923077,0.067723006,0.03203125,0,0.031746032,0.033611031,0,0.241029763,0.1,0,0.090909091,0.083333333,0,0,0.230769231,0.197960223,0.114276961,0.104785438,0.031746032,0.080170312,0,0.620796278,0.1,0.222222222,0.090909091,0.363425926,0,0,0.676323676,0.260792832,0.338050783,0.221708494,0.112433862,0.1598946,0,0.915922928
Leontopithecus rosalia,Female,Hormonal,2,3,7,6,1,0,29,48,6,14,14,7,9,0,73,123,0,0,0,0,0.045454545,0,0.041666667,0.06253858,0.041250543,0.02173913,0,0.043972332,0,0.277209821,0.08173913,0.086956522,0.045454545,0,0.045454545,0,0.442369792,0.086576053,0.232155241,0.188722429,0.027027027,0.131470904,0,0.544041682,0.08173913,0.137681159,0.125,0.193277311,0.045454545,0,0.692913434,0.16297151,0.323676904,0.337508931,0.111633373,0.226462385,0,0.8227121
Leopardus pardalis,Male,Surgical,0,0,5,1,0,0,2,8,2,4,12,8,0,0,41,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptailurus serval,Female,Hormonal,3,0,2,0,0,0,6,11,16,13,33,7,1,0,74,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
