Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Mandrillus sphinx,Female,Surgical,1,1,1,0,0,0,9,12,25,13,17,5,3,0,82,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandrillus sphinx,Male,Hormonal,1,0,2,1,0,0,4,8,11,11,22,6,0,0,82,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandrillus sphinx,Male,Surgical,2,4,7,2,0,0,15,30,11,7,17,5,0,0,75,115,0,0,0,0,NA,0,0.226190476,0.132226479,0.037037037,0.034482759,0,NA,0,0.453304946,0.083333333,0.083333333,0,0.0625,NA,0,0.497064451,0.330552816,0.122917984,0.212893553,0.136972867,NA,0,0.717478468,0.144444444,0.264756944,0.346938776,0.117647059,NA,0,0.757945458,0.330552816,0.173036957,0.393662083,0.192271874,NA,0,0.923691646
Mephitis mephitis,Female,Surgical,0,2,2,1,0,0,8,13,9,9,27,17,1,0,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mephitis mephitis,Male,Surgical,3,2,5,2,0,0,23,35,8,7,33,10,0,0,95,153,0,0,0,0,NA,0,0,0.08957488,0,0.039401103,0,NA,0,0.261008283,0,0.037037037,0,0,NA,0,0.26557419,0.114235372,0.054491852,0.108787259,0.012658228,NA,0,0.539126753,0.213907785,0.097222222,0.533333333,0.041666667,NA,0,0.833617921,0.131269307,0.096470935,0.387034742,0.125211076,NA,0,0.788890728
Mungos mungo,Male,Surgical,1,2,2,0,0,0,2,7,12,6,19,4,0,0,97,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muntiacus reevesi,Male,Surgical,0,1,1,3,0,0,5,10,35,11,14,10,0,0,113,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela nigripes,Female,Surgical,0,0,3,4,0,0,6,13,0,0,5,3,0,0,42,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela nigripes,Male,Surgical,1,3,7,2,0,0,16,29,1,7,12,5,0,0,79,104,0,0,0.043478261,0,NA,0,0.088842975,0.016666667,0.048192457,0.016129032,0,NA,0,0.313458928,0,0,0.134575569,0,NA,0,0.338329344,0.016666667,0.079151788,0.087381592,0.015873016,NA,0,0.481824623,0,0.184313725,0.233738785,0.153846154,NA,0,0.4586331,0.016666667,0.140899628,0.166121288,0.108527132,NA,0,0.752520629
Mustela putorius,Female,Surgical,0,0,0,0,0,0,4,4,0,2,8,3,0,0,47,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius,Male,Surgical,0,1,1,1,0,0,5,8,0,1,13,8,0,0,49,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myocastor coypus,Male,Surgical,0,3,2,0,0,0,1,6,13,6,10,3,0,0,139,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasua narica,Male,Surgical,0,0,2,0,0,0,14,16,2,1,6,2,0,0,35,46,0,0,0,0,NA,0,0.25,0.071428571,0.083333333,0,0.076923077,NA,0,0.502652826,0,0,0.076923077,0,NA,0,0.3125,0.129464286,0.083333333,0.173611111,0.076923077,NA,0,0.762760665,0,0,0.153846154,0,NA,0,0.828125,0.129464286,0.083333333,0.332532051,0.076923077,NA,0,0.914767331
Nasua nasua,Female,Hormonal,0,1,2,2,0,0,5,10,20,21,74,22,4,0,166,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasua nasua,Female,Surgical,0,2,2,0,0,0,7,11,40,23,84,26,5,0,224,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasua nasua,Male,Surgical,4,3,13,5,0,0,23,48,23,22,35,28,0,0,150,258,0,0,0.033333333,0,NA,0,0.160998811,0.104074496,0.032263623,0.016669001,0.015679012,NA,0,0.260673922,0.063740857,0.035714286,0.09375,0,NA,0,0.349445557,0.12341511,0.101511562,0.047436297,0.07136041,NA,0,0.543515444,0.181591658,0.116363636,0.504105548,0.189140271,NA,0,0.637725945,0.217273016,0.231033966,0.379587156,0.358105503,NA,0,0.793105073
Neofelis nebulosa,Female,Hormonal,1,1,1,1,0,0,1,5,11,2,7,4,0,0,38,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nomascus leucogenys,Female,Hormonal,1,0,1,0,0,0,4,6,0,2,2,1,0,0,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus eugenii,Male,Surgical,1,1,0,1,0,0,4,7,8,14,0,1,0,0,59,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,Male,Surgical,1,2,1,0,0,0,13,17,35,33,6,2,0,0,208,284,0,0,0,0,NA,0,0.076923077,0.078356487,0.049130828,0.006993007,0,NA,0,0.336097086,0.083333333,0.083333333,0,0,NA,0,0.412587413,0.191538041,0.192301443,0.006993007,0.018990776,NA,0,0.607210544,0.083333333,0.083333333,0.333333333,0,NA,0,0.874125874,0.255566332,0.280493742,0.038894812,0.018990776,NA,0,0.885439732
Notamacropus rufogriseus,Male,Surgical,16,42,11,8,0,0,45,122,82,180,45,32,0,0,512,851,0,0.099619182,0,0,NA,0,0.054005074,0.049796228,0.103110696,0.014570347,0.008707607,NA,0,0.242154396,0.120745447,0.242908272,0,0.037654222,NA,0,0.148357483,0.143831917,0.260813604,0.066635916,0.033894626,NA,0,0.560863562,0.227771517,0.467334979,0.139474783,0.159877331,NA,0,0.503837256,0.254334267,0.479071199,0.160691082,0.08792728,NA,0,0.828829633
Octodon degus,Female,Hormonal,1,0,1,1,0,0,5,8,6,9,26,5,0,0,145,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octodon degus,Male,Surgical,1,1,1,3,0,0,22,28,7,3,20,7,0,0,134,171,0,0,0,0,NA,0,0.232631579,0.053643967,0,0.010869565,0,NA,0,0.212772707,0.071428571,0.058823529,0.090909091,0.179487179,NA,0,0.598110207,0.064398012,0,0.121788411,0.024847632,NA,0,0.589838174,0.071428571,0.058823529,0.090909091,0.296703297,NA,0,0.849291328,0.081723975,0.052521008,0.284813624,0.114647378,NA,0,0.884836107
Odocoileus virginianus,Male,Surgical,0,3,4,1,0,0,4,12,13,6,4,2,0,0,41,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryctolagus cuniculus,Female,Surgical,1,1,3,1,0,0,13,19,9,12,13,3,0,0,170,207,0,0,0,0,0,0,0.19,0.027106227,0.011764706,0.016393443,0,0,0,0.343238922,0.1,0,0,0,0,0,0.558181818,0.078242516,0.035584604,0.039686451,0,0,0,0.631379315,0.1,0,0.142857143,0,0,0,0.742272727,0.121613192,0.100032672,0.102953492,0.041857084,0,0,0.892746072
Oryctolagus cuniculus,Male,Surgical,0,7,2,2,0,0,27,38,7,9,9,4,0,0,114,143,0,0,0,0,NA,0,0.113333333,0.014925373,0.016949153,0,0,NA,0,0.313496457,0,0.187969925,0,0.055555556,NA,0,0.280228395,0.069708495,0.047429489,0.013888889,0.029733959,NA,0,0.588705481,0,0.299425033,0.272727273,0.108024691,NA,0,0.865513398,0.102370767,0.128265512,0.097378546,0.029733959,NA,0,0.875567916
Oryx dammah,Female,Hormonal,1,0,0,0,0,0,5,6,30,35,58,14,16,0,264,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryx dammah,Male,Surgical,2,2,6,2,0,0,17,29,49,13,6,7,0,0,157,232,0.071428571,0,0,0,NA,0,0.076923077,0.200518669,0.043029272,0.011494253,0.023550725,NA,0,0.449766988,0.071428571,0.071428571,0.083333333,0,NA,0,0.422480114,0.383460888,0.108207962,0.041924444,0.08800909,NA,0,0.772342304,0.071428571,0.148809524,0.2575,0.090909091,NA,0,0.588249711,0.549422877,0.179283116,0.085337243,0.108736156,NA,0,0.909808563
Osphranter rufus,Male,Surgical,5,4,3,3,0,0,64,79,63,93,41,26,0,0,352,575,0,0.034482759,0,0,NA,0,0.094756944,0.084052347,0.073674225,0.031394822,0.012598594,NA,0,0.207965814,0.091796875,0.034482759,0,0,NA,0,0.391442199,0.146248779,0.202656086,0.066695163,0.049020265,NA,0,0.525024178,0.140546013,0.08667288,0.03030303,0.026315789,NA,0,0.705619986,0.264432423,0.384606338,0.171568168,0.12268629,NA,0,0.826220402
Ovis aries,Male,Surgical,2,1,3,4,0,0,19,29,19,14,7,1,0,0,226,267,0,0,0,0,NA,0,0.288888889,0.07798818,0.008064516,0.029315735,0,NA,0,0.42521431,0,0,0,0,NA,0,0.431111111,0.153019346,0.06111308,0.029315735,0,NA,0,0.854429334,0.076923077,0,0.133333333,0.155844156,NA,0,0.611111111,0.198216413,0.366931496,0.117917747,0.041666667,NA,0,0.97906922
Pan troglodytes,Female,Hormonal,2,4,10,2,2,0,19,39,5,11,13,22,0,0,73,124,0.125,0.2,0.25,0,0.166666667,0,0.561142857,0.146524064,0.194508009,0,0.190692935,0,0,0.606815535,0.125,0.318181818,0.451748252,0.117647059,0.215686275,0,0.75625,0.206398014,0.397446727,0.251060341,0.388973673,0,0,0.874913624,0.2125,0.415584416,0.856083916,0.117647059,0.215686275,0,1,0.206398014,0.397446727,0.490724111,0.610472095,0,0,0.975301682
Pan troglodytes,Female,Surgical,0,1,2,2,0,0,3,8,6,11,20,21,2,0,84,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan troglodytes,Male,Surgical,2,1,8,5,0,0,9,25,12,13,12,10,0,0,63,110,0,0,0,0,NA,0,0.0625,0,0.260380623,0.058823529,0.100529101,NA,0,0.519943543,0.133333333,0.076923077,0.394230769,0.142857143,NA,0,0.502676505,0.278549383,0.397051554,0.227280134,0.263698425,NA,0,0.854185778,0.133333333,0.076923077,0.818269231,0.657142857,NA,0,0.734760802,0.481110518,0.557837806,0.586979483,0.451608723,NA,0,0.963281846
Panthera leo,Female,Hormonal,6,2,16,3,0,0,23,50,36,24,116,36,4,0,305,521,0.032258065,0,0,0,0,0,0.102216749,0.124801051,0.053494249,0.024465295,0.022455934,0.020009999,0,0.384152471,0.12964191,0.037037037,0.215170034,0,0,0,0.401511396,0.183123848,0.093864809,0.178700896,0.073152805,0.024885571,0,0.648738121,0.236762906,0.093681917,0.488618299,0.131578947,0,0,0.669335047,0.206667247,0.13555051,0.417821169,0.176624252,0.024885571,0,0.815452537
Panthera leo,Female,Surgical,1,2,13,2,0,0,27,45,41,24,119,37,4,0,301,526,0.0625,0,0,0,0,0,0.142857143,0.112326068,0.048540745,0.022043972,0.020340624,0.018262115,0,0.35446732,0.0625,0.113333333,0.125,0,0,0,0.480398437,0.180924525,0.086426344,0.201634542,0.07002751,0.02305108,0,0.626394514,0.0625,0.113333333,0.303405573,0.105882353,0,0,0.734110649,0.216474159,0.130140148,0.440875475,0.177210336,0.02305108,0,0.800793889
Panthera leo,Male,Surgical,2,0,13,7,0,0,22,44,12,13,82,44,0,0,188,339,0.047619048,0,0.045454545,0,NA,0,0.1875,0.047710656,0.032894788,0.053505406,0.041059234,NA,0,0.499976226,0.090909091,0,0.169960474,0.087301587,NA,0,0.3765625,0.089957991,0.060255898,0.171509456,0.128521536,NA,0,0.637852195,0.090909091,0,0.438297726,0.138007055,NA,0,0.64807376,0.10550343,0.082084003,0.396532536,0.299537933,NA,0,0.791999709
Panthera onca,Female,Hormonal,0,0,2,3,0,0,5,10,5,6,25,14,1,0,51,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera tigris,Female,Hormonal,0,0,3,3,0,0,0,6,9,10,34,23,0,0,88,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera tigris,Female,Surgical,0,1,3,1,0,0,9,14,11,11,36,25,0,0,89,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera tigris,Male,Surgical,1,0,11,5,0,0,6,23,3,5,28,25,0,0,95,156,0,0,0.265908056,0,NA,0,0.1875,0.047342995,0.073375262,0.039969834,0.049568966,NA,0,0.428852425,0,0,0.471981819,0.076923077,NA,0,0.255208333,0.047342995,0.098771905,0.128000218,0.155404707,NA,0,0.63427323,0.111111111,0,0.603986364,0.58974359,NA,0,0.497265625,0.047342995,0.098771905,0.50368365,0.354057325,NA,0,0.840613968
Panthera uncia,Female,Hormonal,0,2,2,0,0,0,7,11,5,8,26,20,1,0,102,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio hamadryas,Female,Hormonal,4,1,9,2,1,0,37,54,13,14,45,23,3,0,159,257,0.071428571,0,0,0,0,0,0.254079254,0.078357584,0.06478695,0.077798924,0.051816239,0,0,0.424714396,0.167667067,0.0625,0.257631258,0,0,0,0.715787607,0.107391179,0.122043514,0.320586616,0.161429535,0.044370539,0,0.785625586,0.25090036,0.0625,0.472749473,0.142857143,0.090909091,0,0.919227297,0.222562861,0.23177249,0.564977037,0.367584326,0.044370539,0,0.924425071
Papio hamadryas,Female,Surgical,2,0,3,0,0,0,16,21,9,13,48,21,4,0,156,251,0,0,0,0,0,0,0.111111111,0.011904762,0.060469073,0.098351782,0.051291051,0.025007914,0,0.390849356,0.111111111,0,0.142857143,0,0,0,0.517906336,0.098745737,0.130805267,0.338683257,0.13101942,0.053950967,0,0.731700963,0.238095238,0,0.4,0,0,0,0.919651056,0.152907652,0.193352943,0.566482077,0.347437215,0.053950967,0,0.923203241
Papio hamadryas,Male,Surgical,1,2,0,2,0,0,22,27,13,2,28,10,0,0,134,187,0,0,0,0.125,NA,0,0.285714286,0.037313433,0,0.0585212,0.042592593,NA,0,0.575092677,0.142857143,0.142857143,0,0.125,NA,0,0.75308642,0.168599813,0.022222222,0.254279144,0.082918176,NA,0,0.85694441,0.142857143,0.357142857,0,0.3,NA,0,0.983539095,0.248770546,0.05015873,0.59739155,0.178672308,NA,0,0.950382463
Papio papio,Female,Hormonal,0,0,0,1,0,0,8,9,0,3,5,4,0,0,41,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio papio,Male,Surgical,1,0,0,1,0,0,3,5,0,0,3,1,0,0,29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecari tajacu,Male,Surgical,1,1,1,1,0,0,6,10,6,6,8,5,0,0,88,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petaurus breviceps,Male,Surgical,0,2,6,2,0,0,21,31,8,14,30,3,0,0,209,264,0,0,0,0,NA,0,0.071428571,0.033734988,0.042556399,0.016465123,0.00877193,NA,0,0.422454704,0,0.047619048,0.148888263,0,NA,0,0.359947082,0.059619838,0.068685776,0.091994602,0.01762218,NA,0,0.696368993,0,0.142857143,0.416380524,0.076923077,NA,0,0.845122998,0.070305976,0.139427298,0.337692299,0.034856879,NA,0,0.917604586
Phacochoerus africanus,Female,Hormonal,1,2,5,0,0,0,3,11,6,1,10,2,0,0,54,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phacochoerus africanus,Male,Surgical,1,0,0,0,0,0,4,5,11,3,9,3,0,0,59,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,Female,Hormonal,0,6,2,2,0,0,8,18,3,19,4,1,0,0,43,70,0,0,0,0,0,0,0.142857143,0,0.087557604,0,0.034482759,0,0,0.258303908,0,0.166666667,0,0,0,0,0.265306122,0.118469565,0.440557157,0.085714286,0.034482759,0,0,0.667785946,0,0.513888889,0,0.142857143,0,0,0.443413729,0.118469565,0.675845464,0.177142857,0.034482759,0,0,0.905036043
Pongo abelii,Female,Hormonal,0,0,3,0,1,0,5,9,2,4,1,2,3,0,19,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,Female,Hormonal,1,0,5,0,0,0,5,11,7,6,8,8,0,0,31,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,Male,Surgical,0,0,1,1,0,0,2,4,7,6,9,1,0,0,34,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,Male,Hormonal,2,0,2,2,0,0,15,21,12,19,15,3,0,0,100,149,0,0,0,0,NA,0,0.238095238,0.083680556,0.038526162,0,0,NA,0,0.207067168,0,0,0,0,NA,0,0.380952381,0.107970112,0.10653435,0.065427471,0,NA,0,0.494157759,0.090909091,0,0.2,0.166666667,NA,0,0.607142857,0.139890505,0.290325816,0.157357789,0,NA,0,0.794436611
Procavia capensis,Male,Surgical,0,0,4,0,0,0,4,8,14,19,13,5,0,0,111,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,Female,Surgical,4,2,6,2,0,0,12,26,19,6,37,24,1,0,150,237,0.228571429,0,0.076923077,0,0,0,0.166666667,0.059561594,0.019931891,0.06640899,0.009615385,0,0,0.361550666,0.287912088,0,0.076923077,0,0,0,0.377267574,0.131992037,0.040263488,0.180727139,0.1156604,0,0,0.630633088,0.287912088,0.325,0.341880342,0.285714286,0,0,0.680650038,0.215416337,0.089400324,0.331412312,0.27573499,0.018181818,0,0.875532873
Procyon lotor,Male,Surgical,1,0,10,7,0,0,32,50,20,8,32,19,0,0,142,221,0.125,0,0,0.128205128,NA,0,0,0.139089138,0.048375634,0.036442065,0.012345679,NA,0,0.289813715,0.125,0,0.147193497,0.128205128,NA,0,0.316317776,0.210220251,0.072021246,0.127984826,0.060747193,NA,0,0.636259348,0.125,0,0.330441175,0.278367347,NA,0,0.714555752,0.210220251,0.085667993,0.282983978,0.282511426,NA,0,0.860378619
Propithecus coquereli,Female,Hormonal,0,1,1,3,0,0,3,8,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteropus rodricensis,Female,Hormonal,11,2,4,0,0,0,18,35,28,31,21,6,3,0,223,312,0.193277311,0,0.066666667,0,0,0,0.0625,0.125853419,0.075866431,0.056242695,0,0.011235955,0,0.40993402,0.479253778,0,0.144444444,0,0,0,0.541735527,0.146589567,0.193519817,0.103752106,0.013333333,0.024419476,0,0.761433415,0.635477645,0.285714286,0.266666667,0,0,0,0.826198955,0.272127217,0.289657945,0.216367069,0.086318426,0.039428407,0,0.939877286
Puma concolor,Female,Surgical,1,1,5,8,0,0,8,23,4,6,24,17,0,0,87,138,0,0,0,0.066666667,0,0,0.076923077,0.094117647,0.078805504,0,0.026315789,0,0,0.331728185,0,0.058823529,0.114186851,0.066666667,0,0,0.076923077,0.110294118,0.111705308,0.149420804,0.13941353,0,0,0.590902478,0.111111111,0.058823529,0.31860527,0.265882353,0,0,0.53125,0.110294118,0.130211447,0.378315995,0.241632512,0,0,0.8144074
Puma concolor,Male,Surgical,0,0,7,3,0,0,12,22,3,6,28,20,0,0,61,118,0,0,0,0,NA,0,0.142857143,0.016129032,0.033092325,0.050715833,0.058093126,NA,0,0.252261153,0,0,0,0.129464286,NA,0,0.384615385,0.034348865,0.07036541,0.193107484,0.181765367,NA,0,0.472302362,0,0,0.363636364,0.129464286,NA,0,0.631606489,0.056805868,0.123576817,0.405668102,0.273107658,NA,0,0.734279259
Rangifer tarandus,Male,Surgical,0,0,3,0,0,0,10,13,10,17,18,5,0,0,145,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,Female,Surgical,0,0,2,1,0,0,18,21,2,37,70,17,0,0,282,408,0,0,0,0,0,0,0.05,0.003424658,0.04599361,0.004,0,0,0,0.101283664,0,0,0,0,0,0,0.1925,0.007873655,0.107909639,0.070930449,0.02133284,0,0,0.401612178,0,0,0.0625,0.083333333,0,0,0.392,0.007873655,0.177271687,0.358816829,0.084842188,0,0,0.773179899
Rattus norvegicus,Male,Surgical,0,2,1,0,0,0,24,27,3,9,16,15,0,0,170,213,0,0,0,0,NA,0,0.076923077,0.007246377,0.031748113,0,0,NA,0,0.270109274,0,0,0,0,NA,0,0.230769231,0.014092954,0.038664198,0.01451647,0.014622084,NA,0,0.486681912,0,0,0,0,NA,0,0.769230769,0.014092954,0.078685709,0.16381804,0.167200216,NA,0,0.810175948
