Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Eidolon helvum,Male,Surgical,164,493,1,14.04718715,0.414996623,15.74689838,0.756489046,-0.290911843,0.142281762,-0.572636026,-0.029585643
Equus caballus,Male,Surgical,89,543,3,19.65155949,0.755824027,18.45158152,1.439536584,0.150765031,0.196929471,-0.240858613,0.524551622
Equus quagga,Male,Surgical,50,235,3,13.16934972,0.889527738,21.48492796,2.42510741,-1.082336458,0.300028165,-1.70550532,-0.525687309
Erythrocebus patas,Female,Hormonal,44,305,5,11.9436243,0.507628298,13.91294885,1.353163346,-0.329663165,0.235494359,-0.801556702,0.11732837
Erythrocebus patas,Male,Surgical,36,233,3,10.9120066,0.650695627,10.22349046,1.411700877,0.108245434,0.229812203,-0.356018898,0.538079471
Eudorcas thomsonii,Male,Surgical,56,358,1,5.150305944,0.286245095,7.96898102,0.848589805,-0.630850614,0.190595354,-1.012093689,-0.26482507
Eulemur macaco,Female,Hormonal,44,131,4,11.05190329,0.831479392,15.28557691,2.018533214,-0.569189013,0.274220781,-1.142902648,-0.074507983
Felis catus,Male,Surgical,76,476,1,12.37283555,0.690607295,12.74830181,1.414115088,-0.057122657,0.259142612,-0.575194183,0.436845442
Felis catus,Male,Surgical,76,476,1,12.37283555,0.690607295,12.74830181,1.414115088,-0.057122657,0.259142612,-0.575194183,0.436845442
Giraffa camelopardalis,Female,Hormonal,48,362,6,11.27848108,0.437269764,16.45636928,1.622327817,-0.906080452,0.290977266,-1.523291466,-0.355160845
Hemitragus jemlahicus,Male,Surgical,36,298,1,7.437439989,0.408633763,7.153899152,0.98711439,0.060151678,0.215317715,-0.383686826,0.46214657
Hydrochoerus hydrochaeris,Female,Hormonal,41,1867,1,6.093655826,0.108185122,5.711403296,0.596602652,0.118222472,0.18490869,-0.259632435,0.465287923
Hydrochoerus hydrochaeris,Male,Surgical,121,1513,1,5.593464636,0.122841422,5.491289249,0.381611957,0.030766628,0.117922333,-0.206037767,0.252130715
Kobus megaceros,Male,Surgical,70,332,2,6.25889786,0.328280136,7.205549161,0.763622263,-0.205170492,0.177414271,-0.552703111,0.133529584
Lama glama,Male,Surgical,219,1320,1,14.04445155,0.373984112,13.01008349,0.782204883,0.15388545,0.129302934,-0.10945156,0.401187526
Lama guanicoe,Male,Surgical,52,346,2,11.65400511,0.642588608,11.68687687,1.608006224,-0.001754409,0.210213354,-0.432716306,0.385390244
Lemur catta,Female,Hormonal,485,3377,2,14.74551985,0.224642543,16.44210801,0.681836923,-0.230142002,0.097518921,-0.424372083,-0.040551623
Lemur catta,Female,Surgical,61,3810,1,15.02869113,0.220301452,14.8811229,1.478293487,0.018539683,0.192283558,-0.364244084,0.371553085
Lemur catta,Male,Surgical,429,3789,2,15.69692877,0.227738868,17.30373637,0.825961484,-0.207623199,0.110386012,-0.431435558,-0.000392924
Leontopithecus chrysomelas,Female,Hormonal,87,346,2,8.603679526,0.35430781,10.63485594,0.77533909,-0.406810768,0.163401666,-0.732862717,-0.101598534
Leontopithecus rosalia,Female,Hormonal,164,280,2,8.353109726,0.378897384,10.2499982,0.535040018,-0.404032631,0.13167894,-0.66355879,-0.142719352
Leptailurus serval,Female,Hormonal,39,516,1,12.37424453,0.416561407,11.37344611,1.385756539,0.180960074,0.257310554,-0.333542471,0.673691325
Leptailurus serval,Female,Surgical,38,516,1,12.35228941,0.423392715,14.38125157,1.441057998,-0.378788547,0.277704537,-0.944996335,0.14492947
Leptailurus serval,Male,Surgical,62,439,3,11.36258414,0.347882448,13.59649765,0.772401901,-0.517541847,0.19450247,-0.913976643,-0.142367809
