"species","Female_Hormonal_Contra_N","Female_Hormonal_Contra_Mean","Female_Hormonal_Contra_SE","Female_Hormonal_NoContra_N","Female_Hormonal_NoContra_Mean","Female_Hormonal_NoContra_SE","Female_Surgical_Contra_N","Female_Surgical_Contra_Mean","Female_Surgical_Contra_SE","Female_Surgical_NoContra_N","Female_Surgical_NoContra_Mean","Female_Surgical_NoContra_SE","Male_Hormonal_Contra_N","Male_Hormonal_Contra_Mean","Male_Hormonal_Contra_SE","Male_Hormonal_NoContra_N","Male_Hormonal_NoContra_Mean","Male_Hormonal_NoContra_SE","Male_Surgical_Contra_N","Male_Surgical_Contra_Mean","Male_Surgical_Contra_SE","Male_Surgical_NoContra_N","Male_Surgical_NoContra_Mean","Male_Surgical_NoContra_SE"
"Cebus capucinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,27.5799737695815,2.77788657383557,131,19.8963447921385,1.55771461349042
"Cercopithecus neglectus",57,16.1928881666412,1.43422451150086,193,16.0055689454525,0.800574324371206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cervus elaphus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,8.13135531743964,1.14727212687234,491,7.33131439234286,0.416337783501076
"Chinchilla lanigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8.29107974048062,1.31431700981159,581,7.22183586458226,0.299017705880511
"Colobus guereza",101,17.0318141290321,1.27845366699154,290,11.7537622949648,0.635978452673345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynomys ludovicianus",NA,NA,NA,NA,NA,NA,45,5.2575936828255,0.716554632718932,1277,5.16868484155824,0.141032935818827,NA,NA,NA,NA,NA,NA,116,4.91628851243624,0.431393310353433,1108,5.33251204786684,0.174125933598866
"Dama dama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,9.42199080006361,0.980921967208681,1922,6.77957614838687,0.202875669410304
"Desmodus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,14.3101006952387,1.59983256673013,464,11.0661938652423,0.505375452081597
"Didelphis virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1.71173772044618,0.123700505600285,389,1.56403554355239,0.0538188322291917
"Dolichotis patagonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,5.81255146823674,0.572544077119119,1744,5.30253320601727,0.134934991036436
"Eidolon helvum",NA,NA,NA,NA,NA,NA,92,19.7008173074194,1.01217250852824,548,16.7457745165928,0.435541997848825,NA,NA,NA,NA,NA,NA,164,15.7468983831727,0.756489045981401,493,14.0471871513359,0.41499662321484
"Equus caballus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18.4515815167006,1.43953658410652,543,19.6515594914207,0.75582402659642
"Equus quagga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,21.4849279583501,2.4251074100396,235,13.1693497205169,0.889527737768815
"Erythrocebus patas",44,13.9129488515047,1.35316334579374,305,11.9436242996808,0.507628297854819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,10.2234904587139,1.41170087654268,233,10.9120065989675,0.650695627162812
"Eudorcas thomsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,7.96898102014143,0.848589805395824,358,5.15030594442817,0.28624509496627
"Eulemur macaco",44,15.2855769094323,2.01853321410443,131,11.0519032942607,0.831479391503868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felis catus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,12.7483018089391,1.41411508843275,476,12.37283555162,0.690607294708154
"Giraffa camelopardalis",48,16.4563692836532,1.6223278169284,362,11.2784810784408,0.437269763503699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hemitragus jemlahicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,7.15389915240642,0.987114390022044,298,7.43743998902878,0.408633762846795
"Hydrochoerus hydrochaeris",41,5.71140329563656,0.596602651832945,1867,6.09365582560836,0.108185121925107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,5.49128924936807,0.381611957293485,1513,5.59346463557158,0.122841421621808
"Kobus megaceros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,7.20554916080533,0.763622262933466,332,6.25889785963947,0.32828013634179
"Lama glama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,13.0100834894442,0.782204883134064,1320,14.0444515450259,0.373984111967708
"Lama guanicoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,11.68687687275,1.60800622355648,346,11.6540051126408,0.642588607501737
"Lemur catta",485,16.4421080140873,0.681836922841081,3377,14.7455198475463,0.22464254330873,61,14.8811229036412,1.4782934874016,3810,15.0286911277665,0.220301452354858,NA,NA,NA,NA,NA,NA,429,17.3037363742333,0.825961483783377,3789,15.6969287677489,0.227738867799991
"Leontopithecus chrysomelas",87,10.6348559363533,0.775339089504891,346,8.60367952559185,0.354307810472309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontopithecus rosalia",164,10.2499982008049,0.535040018310307,280,8.35310972619263,0.378897384317409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptailurus serval",39,11.3734461089543,1.3857565387696,516,12.3742445335812,0.416561406501224,38,14.3812515664159,1.44105799822641,516,12.3522894094465,0.423392714927815,NA,NA,NA,NA,NA,NA,62,13.5964976531055,0.772401900881311,439,11.3625841442701,0.347882447793068
"Lycaon pictus",79,7.4724516012203,0.54081019812816,328,7.03068607209973,0.241771593391529,74,8.27427795364357,0.539613564717052,328,7.07783391525785,0.241151883633592,30,5.05332899528128,0.512167964561988,312,5.14092021943536,0.151591481152156,NA,NA,NA,NA,NA,NA
"Lynx lynx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,8.15057796237261,0.815426524706846,154,7.51407062727516,0.366967180706593
"Lynx rufus",NA,NA,NA,NA,NA,NA,44,12.1641582872537,0.842507757538495,188,12.2993000286367,0.453039250695156,NA,NA,NA,NA,NA,NA,76,16.5041967130607,0.774313379436036,233,14.1265645226331,0.540155327851344
"Macaca fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,13.5504021005124,2.43701171542339,362,11.6922879336607,0.858676151328225
"Macaca fuscata",82,16.0902608158886,1.04491550485371,398,17.0071291235814,0.585559647909558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,15.9609031011595,1.38894006654749,261,14.1126363707505,0.801103063237155
"Macaca leonina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,11.4004425873183,2.74248203040168,60,14.7019575053809,2.92233832556741
"Macaca mulatta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,21.9632726673827,1.8517888215836,340,16.3817646108971,0.903382660759596
"Macaca nemestrina",30,12.4758486671261,2.05757321117801,177,13.5114008400958,0.928431624441744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macaca nigra",73,13.2870506296744,1.20731543121036,158,13.483374171589,0.831720887124213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,8.9711749051449,1.11953360585517,150,10.8692881298167,0.743666955574096
"Macaca silenus",80,17.3970406527537,1.6883960731152,305,16.5548823650048,0.740352285475235,NA,NA,NA,NA,NA,NA,37,13.8020606303537,2.07352487274087,273,13.0288365881936,0.675760664362833,46,13.3584719333789,1.53350284301611,263,12.5427578012,0.687901519610489
"Macaca sylvanus",237,15.1226207473296,0.833827461804617,494,12.9255664075955,0.517481353099686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,16.6680522273437,1.25421533007497,389,11.4960380746267,0.576870618139507
"Macropus fuliginosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,7.69824511880991,0.780957384978285,389,6.28949263214034,0.350261465568813
"Macropus giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,7.93489563874325,0.604919647027948,425,6.56712357317396,0.307059879844782
"Mandrillus sphinx",207,18.0952416497576,0.849732344644375,375,15.3097331576297,0.619365768295324,NA,NA,NA,NA,NA,NA,38,12.0952148860195,1.61572153421433,370,12.5232991511348,0.569739870348172,81,13.6098058562052,1.09010975480845,393,13.1949623145321,0.555805681866532
"Mephitis mephitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,4.89603651193141,0.231842789561774,375,5.09735670394217,0.135355615233001
"Mungos mungo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8.0175837515017,1.04832651454805,710,9.3916980898497,0.278780789582643
"Muntiacus reevesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,7.48194486555507,0.782700851023897,299,5.91789405633677,0.276185355609069
"Mustela nigripes",NA,NA,NA,NA,NA,NA,40,2.24250403758704,0.17103543498012,203,2.1900705592614,0.0932823929616233,NA,NA,NA,NA,NA,NA,52,2.66352567611505,0.169901714422073,423,2.61299882635715,0.0773288506551407
"Myocastor coypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,2.82241511161905,0.459628025773209,221,2.89614924452045,0.203073920459361
"Nasua narica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,7.48537702421142,0.698612688960236,122,8.5829609052785,0.471674658388939
"Nasua nasua",39,6.997920678896,0.671575899502373,1056,7.13284596480318,0.138236663566122,41,9.46838938711092,0.867052672192132,1428,9.82046111622512,0.152807977605596,NA,NA,NA,NA,NA,NA,224,9.5645803776247,0.384255991306996,928,8.38067748185845,0.185926804177324
"Nomascus leucogenys",50,25.1020539153217,2.62826347311042,66,25.0190951042452,2.24243747969337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notamacropus parma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,6.03158416756534,0.711682814263041,748,4.66358241759504,0.156440037704606
"Notamacropus rufogriseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,6.39174938049934,0.255561459542776,2869,5.43265299480642,0.105887845970127
"Octodon degus",83,5.59118550762854,0.438574899352032,502,4.20218980533635,0.147513437825357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,4.12033108765932,0.249562232323629,363,3.64334947727901,0.148331964881968
"Odocoileus virginianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,11.6045369093478,1.6660200736129,270,8.00478220881896,0.530760818325312
"Oryctolagus cuniculus",NA,NA,NA,NA,NA,NA,42,5.75941161739256,0.643256386335696,493,4.62403728851923,0.179981293713978,NA,NA,NA,NA,NA,NA,87,5.06228149126079,0.420366502116783,312,5.15257413633577,0.227136912836665
"Oryx dammah",36,11.2741882955756,1.13875380280511,2407,10.6930492207497,0.141378331276703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,11.4130228046095,0.659770415755475,1818,8.98186583133753,0.209645887935493
"Osphranter rufus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,6.92539565551042,0.341124190444588,1959,5.70307174013477,0.119613068820472
"Ovis aries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,7.56902462834238,0.76297833014639,558,7.84209629503192,0.295324538444031
