"Ages","ple","event","type","sex","species","ctype","order","minAge"
6.01999999999998,0.888242234876446,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.01999999999998,0.884462480685482,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.01999999999998,0.884462480685482,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.09000000000015,0.880666504373527,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.13000000000011,0.880666504373527,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.19411666666662,0.880666504373527,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.38000000000011,0.876837519571903,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.40000000000009,0.876837519571903,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.41999999999985,0.87299174097729,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.47000000000003,0.869162829832652,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.53999999999996,0.869162829832652,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.59000000000015,0.869162829832652,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.68999999999983,0.865383861007293,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.70617666666671,0.861637610526742,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.71000000000004,0.861637610526742,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.75999999999999,0.861637610526742,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.75999999999999,0.861637610526742,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.80505999999994,0.861637610526742,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.81622333333342,0.857907577580739,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.83099333333341,0.857907577580739,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.84238118412038,0.857907577580739,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.9306733333334,0.85416125628126,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.94000000000005,0.85041493498178,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
6.94000000000005,0.846685044916071,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.00999999999999,0.842938650912017,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.01993999999998,0.842938650912017,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
