"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Cynomys ludovicianus","Female","Surgical",45,1277,2,5.16868484155824,0.141032935818827,5.2575936828255,0.716554632718932,-0.0168101370459611,0.199461376236672,-0.419135078744564,0.348001538229891
"Cynomys ludovicianus","Male","Surgical",116,1108,2,5.33251204786684,0.174125933598866,4.91628851243624,0.431393310353433,0.111194827712559,0.122254345920489,-0.133176305759067,0.343307581242948
"Dama dama","Male","Surgical",142,1922,1,6.77957614838687,0.202875669410304,9.42199080006361,0.980921967208681,-0.422677795980124,0.147243842312758,-0.721193028867581,-0.143501498257509
"Desmodus rotundus","Male","Surgical",69,464,1,11.0661938652423,0.505375452081597,14.3101006952387,1.59983256673013,-0.511186139214011,0.266164927699258,-1.05558978932877,-0.0050419626889111
"Didelphis virginiana","Male","Surgical",54,389,1,1.56403554355239,0.0538188322291917,1.71173772044618,0.123700505600285,-0.173302512680215,0.155299615509046,-0.478226865187254,0.122361699582204
"Dolichotis patagonum","Male","Surgical",107,1744,1,5.30253320601727,0.134934991036436,5.81255146823674,0.572544077119119,-0.118364686972491,0.136990772604357,-0.390938587769141,0.134955552587002
"Eidolon helvum","Female","Surgical",92,548,1,16.7457745165928,0.435541997848825,19.7008173074194,1.01217250852824,-0.573365136571258,0.212947127673428,-1.00596034637988,-0.174410259318241
"Eidolon helvum","Male","Surgical",164,493,1,14.0471871513359,0.41499662321484,15.7468983831727,0.756489045981401,-0.290911843062277,0.142281761890014,-0.57263602572853,-0.0295856433602889
"Equus caballus","Male","Surgical",89,543,3,19.6515594914207,0.75582402659642,18.4515815167006,1.43953658410652,0.150765030746952,0.196929470929507,-0.240858613269409,0.524551621650369
"Equus quagga","Male","Surgical",50,235,3,13.1693497205169,0.889527737768815,21.4849279583501,2.4251074100396,-1.08233645817576,0.300028164942684,-1.70550531962716,-0.525687308728242
