species,Species,Solitary,Social monogamy,Group living,Paternal Care,Testesmass,Bodymass,common,Class,Order,Family,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp,unknown
Ovis aries,Ovis aries,Yes,No,No,No,318.8,35000,Domestic sheep,Mammalia,Artiodactyla,Bovidae,Male,Surgical,58,558,1,7.842096295,0.295324538,7.569024628,0.76297833,0.06562726,0.19447735,-0.334744012,0.447401057,0.965178741
Vicugna pacos,NA,NA,NA,NA,NA,34,63000,Alpaca,Mammalia,Artiodactyla,Camelidae,Male,Surgical,139,820,2,12.23426116,0.291331458,11.87485003,0.620693703,0.079321406,0.14824627,-0.219007847,0.361082368,0.970622572
Panthera leo,Panthera leo,No,No,Yes,No,27.6,183740,Lion,Mammalia,Carnivora,Felidae,Male,Surgical,177,1311,2,13.43957148,0.221480992,13.06212868,0.474161759,0.08438695,0.11127583,-0.13434679,0.297946314,0.971915563
Capra hircus,Capra hircus,No,No,Yes,No,156.8,25420,Domestic goat (breed unspecified),Mammalia,Artiodactyla,Bovidae,Male,Surgical,503,1858,2,8.249857839,0.131799159,8.019631926,0.218909917,0.067569449,0.073597017,-0.077469838,0.203636572,0.972093348
Myocastor coypus,Myocastor coypus,No,No,Yes,No,9.6,5520,Nutria,Mammalia,Rodentia,Myocastoridae,Male,Surgical,38,221,1,2.896149245,0.20307392,2.822415112,0.459628026,0.039164092,0.191238106,-0.34764971,0.393634547,0.974540631
Hydrochoerus hydrochaeris,NA,NA,NA,NA,NA,68.8,43100,Capybara,Mammalia,Rodentia,Caviidae,Male,Surgical,121,1513,1,5.593464636,0.122841422,5.491289249,0.381611957,0.030766628,0.117922333,-0.206037767,0.252130715,0.981733077
Oryctolagus cuniculus,Oryctolagus cuniculus,Yes,No,No,No,6.06,2888,European rabbit,Mammalia,Lagomorpha,Leporidae,Male,Surgical,87,312,1,5.152574136,0.227136913,5.062281491,0.420366502,0.032119803,0.154974732,-0.275053303,0.323393745,0.982476207
Puma concolor,Puma concolor,Yes,No,No,No,14.9,45000,Cougar,Mammalia,Carnivora,Felidae,Male,Surgical,60,315,6,9.149079233,0.25432718,9.156979807,0.501659244,-0.00227096,0.188604781,-0.38239545,0.349749525,1.000863538
Lama guanicoe,NA,NA,NA,NA,NA,NA,NA,Guanaco,Mammalia,Artiodactyla,Camelidae,Male,Surgical,52,346,2,11.65400511,0.642588608,11.68687687,1.608006224,-0.001754409,0.210213354,-0.432716306,0.385390244,1.002820641
Aonyx cinereus,NA,NA,NA,NA,NA,NA,NA,Asian small-clawed otter,Mammalia,Carnivora,Mustelidae,Male,Surgical,93,1355,1,10.02157377,0.209123256,10.09851003,0.678153351,-0.016232535,0.147323016,-0.31331475,0.251150808,1.007677064
Mustela nigripes,Mustela nigripes,Yes,No,No,No,2.1,950,Black-footed ferret,Mammalia,Carnivora,Mustelidae,Male,Surgical,52,423,3,2.612998826,0.077328851,2.663525676,0.169901714,-0.048960191,0.170325994,-0.377334474,0.284111313,1.019336729
Vulpes lagopus,Vulpes lagopus,No,Yes,No,Yes,4.064433292,4797.334486,Arctic fox,Mammalia,Carnivora,Canidae,Male,Surgical,31,206,2,6.073525627,0.284688447,6.192996768,0.705428661,-0.042182432,0.254802106,-0.563467302,0.420627972,1.019670805
Rattus norvegicus,Rattus norvegicus,No,No,Yes,No,4,500,Brown rat,Mammalia,Rodentia,Muridae,Male,Surgical,42,355,1,1.24815531,0.044533636,1.274608836,0.120287661,-0.031534837,0.171530174,-0.376451265,0.298367527,1.021194098
Suricata suricatta,Suricata suricatta,No,Yes,No,Yes,1.3,731,Meerkat,Mammalia,Carnivora,Herpestidae,Male,Surgical,270,4952,1,8.1827697,0.076307236,8.427833573,0.327806544,-0.068347433,0.094412663,-0.254979438,0.114032534,1.029948768
Felis catus,NA,NA,NA,NA,NA,2.34,3100,Domestic cat (breed unspecified),Mammalia,Carnivora,Felidae,Male,Surgical,76,476,1,12.37283555,0.690607295,12.74830181,1.414115088,-0.057122657,0.259142612,-0.575194183,0.436845442,1.030346016
Mandrillus sphinx,Mandrillus sphinx,No,No,Yes,No,58.86,26900,Mandrill,Mammalia,Primates,Cercopithecidae,Male,Surgical,81,393,2,13.19496231,0.555805682,13.60980586,1.090109755,-0.059801299,0.167921518,-0.398495677,0.258106853,1.03143954
Sus scrofa,Sus scrofa,No,No,Yes,No,128.2,39700,Wild boar,Mammalia,Artiodactyla,Suidae,Male,Surgical,81,864,0,4.696768169,0.278028502,4.928459058,0.911033922,-0.040266916,0.180974611,-0.403146807,0.310492125,1.049329854
Saguinus oedipus,Saguinus oedipus,No,Yes,No,Yes,3.4,520,Cotton-top tamarin,Mammalia,Primates,Cebidae,Male,Surgical,96,1540,2,10.25954422,0.20224346,10.79693966,0.871473687,-0.096833838,0.161536674,-0.424770275,0.21518397,1.05238005
Alouatta caraya,Alouatta caraya,No,No,Yes,No,18.37,6420,Black howler,Mammalia,Primates,Atelidae,Male,Surgical,38,227,2,13.84516419,0.660425297,14.72006975,1.598501883,-0.136752309,0.262696141,-0.666899977,0.34494121,1.06319214
Macaca silenus,Macaca silenus,No,No,Yes,No,42,5900,Lion-tailed macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,46,263,6,12.5427578,0.68790152,13.35847193,1.533502843,-0.106503406,0.209108522,-0.53196044,0.289357079,1.065034671
Cavia porcellus,Cavia porcellus,Yes,No,No,No,3.73,714.5,Domestic guinea pig (breed unspecified),Mammalia,Rodentia,Caviidae,Male,Surgical,164,1998,0,3.645729825,0.079436303,3.912285919,0.260345093,-0.111880939,0.112743473,-0.338170958,0.09907503,1.073114604
