species,Female_Hormonal_Contra_N,Female_Hormonal_Contra_Mean,Female_Hormonal_Contra_SE,Female_Hormonal_NoContra_N,Female_Hormonal_NoContra_Mean,Female_Hormonal_NoContra_SE,Female_Surgical_Contra_N,Female_Surgical_Contra_Mean,Female_Surgical_Contra_SE,Female_Surgical_NoContra_N,Female_Surgical_NoContra_Mean,Female_Surgical_NoContra_SE,Male_Hormonal_Contra_N,Male_Hormonal_Contra_Mean,Male_Hormonal_Contra_SE,Male_Hormonal_NoContra_N,Male_Hormonal_NoContra_Mean,Male_Hormonal_NoContra_SE,Male_Surgical_Contra_N,Male_Surgical_Contra_Mean,Male_Surgical_Contra_SE,Male_Surgical_NoContra_N,Male_Surgical_NoContra_Mean,Male_Surgical_NoContra_SE
Chinchilla lanigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8.29107974,1.31431701,581,7.221835865,0.299017706
Colobus guereza,101,17.03181413,1.278453667,290,11.75376229,0.635978453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynomys ludovicianus,NA,NA,NA,NA,NA,NA,45,5.257593683,0.716554633,1277,5.168684842,0.141032936,NA,NA,NA,NA,NA,NA,116,4.916288512,0.43139331,1108,5.332512048,0.174125934
Dama dama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,9.4219908,0.980921967,1922,6.779576148,0.202875669
Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,14.3101007,1.599832567,464,11.06619387,0.505375452
Didelphis virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1.71173772,0.123700506,389,1.564035544,0.053818832
Dolichotis patagonum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,5.812551468,0.572544077,1744,5.302533206,0.134934991
Eidolon helvum,NA,NA,NA,NA,NA,NA,92,19.70081731,1.012172509,548,16.74577452,0.435541998,NA,NA,NA,NA,NA,NA,164,15.74689838,0.756489046,493,14.04718715,0.414996623
Equus caballus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18.45158152,1.439536584,543,19.65155949,0.755824027
Equus quagga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,21.48492796,2.42510741,235,13.16934972,0.889527738
Erythrocebus patas,44,13.91294885,1.353163346,305,11.9436243,0.507628298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,10.22349046,1.411700877,233,10.9120066,0.650695627
Eudorcas thomsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,7.96898102,0.848589805,358,5.150305944,0.286245095
Eulemur macaco,44,15.28557691,2.018533214,131,11.05190329,0.831479392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,12.74830181,1.414115088,476,12.37283555,0.690607295
Giraffa camelopardalis,48,16.45636928,1.622327817,362,11.27848108,0.437269764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitragus jemlahicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,7.153899152,0.98711439,298,7.437439989,0.408633763
Hydrochoerus hydrochaeris,41,5.711403296,0.596602652,1867,6.093655826,0.108185122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,5.491289249,0.381611957,1513,5.593464636,0.122841422
Kobus megaceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,7.205549161,0.763622263,332,6.25889786,0.328280136
Lama glama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,13.01008349,0.782204883,1320,14.04445155,0.373984112
