species,phylogeny,category,yi,vi,obs_id,contraception,abs_yi,abs_yi2,abs_vi
Panthera tigris,Panthera_tigris,F normal/M normal,-0.005205514580579783,0.0020719076614567093,210,F normal/M normal,0.005205514580579783,0.03655551418087557,7.62699426477143e-4
Papio hamadryas,Papio_hamadryas,F normal/M normal,0.20413784146017122,0.003557860498202304,211,F normal/M normal,0.20413784146017122,0.204147315684697,0.0035539923129529745
Papio papio,Papio_papio,F normal/M normal,0.24311824457425,0.007109091463021735,212,F normal/M normal,0.24311824457425,0.24321493861674412,0.007062065941539956
Petrogale xanthopus,Petrogale_xanthopus,F normal/M normal,0.3507191369604709,0.01565419983565903,213,F normal/M normal,0.3507191369604709,0.35090759152914874,0.015521975073168688
Phacochoerus africanus,Phacochoerus_africanus,F normal/M normal,0.094702982369594,0.007943114925926326,214,F normal/M normal,0.094702982369594,0.10786634035209147,0.005276622414668722
Pithecia pithecia,Pithecia_pithecia,F normal/M normal,-0.30360165222310553,0.01003473969821901,215,F normal/M normal,0.30360165222310553,0.3036703049497023,0.009993048822573333
Potamochoerus porcus,Potamochoerus_porcus,F normal/M normal,-0.018909655380968213,0.007191358789164542,216,F normal/M normal,0.018909655380968213,0.06933735224836945,0.0027412654389770575
Procyon lotor,Procyon_lotor,F normal/M normal,0.15221335452922324,0.0050611893085177415,217,F normal/M normal,0.15221335452922324,0.15303787880452366,0.004809502256568676
Puma concolor,Puma_concolor,F normal/M normal,0.09177722284326086,0.0033425882057806213,218,F normal/M normal,0.09177722284326086,0.09454539291243556,0.0028268155176353633
Rattus norvegicus,Rattus_norvegicus,F normal/M normal,0.05430755482432174,0.024287490285820286,219,F normal/M normal,0.05430755482432174,0.13182025799604935,0.009860220378671982
Saguinus imperator,Saguinus_imperator,F normal/M normal,-0.1476670602303094,0.007501031434482725,220,F normal/M normal,0.1476670602303094,0.1507964592730009,0.006567019982270733
Saguinus oedipus,Saguinus_oedipus,F normal/M normal,-0.10083816596476046,0.00428358784630679,221,F normal/M normal,0.10083816596476046,0.10433212666120137,0.0035667309077944014
Saimiri boliviensis,Saimiri_boliviensis,F normal/M normal,0.04759527591746979,0.005195644412282784,222,F normal/M normal,0.04759527591746979,0.0696134528194724,0.002614921888493954
Saimiri sciureus,Saimiri_sciureus,F normal/M normal,0.1394935898775452,0.00481480146896142,223,F normal/M normal,0.1394935898775452,0.14063972450812418,0.004493730976165136
Sapajus apella,Sapajus_apella,F normal/M normal,0.06405023234137687,0.002506552120337591,224,F normal/M normal,0.06405023234137687,0.06881304517482408,0.001873749197089571
Sapajus xanthosternos,Sapajus_xanthosternos,F normal/M normal,0.17780949062031493,0.022040447889168653,225,F normal/M normal,0.17780949062031493,0.19454650881973895,0.015808318749875747
Suricata suricatta,Suricata_suricatta,F normal/M normal,-0.054033552056295446,0.0028450903152952836,226,F normal/M normal,0.054033552056295446,0.06270345540651259,0.0018329917431991608
Sus scrofa,Sus_scrofa,F normal/M normal,0.014080131696957342,0.004686713710933196,227,F normal/M normal,0.014080131696957342,0.0557740698327648,0.0017742169538267358
Tapirus terrestris,Tapirus_terrestris,F normal/M normal,0.019244563155626233,0.005388040776494945,228,F normal/M normal,0.019244563155626233,0.06056873586630663,0.0020898222231034136
Tragelaphus strepsiceros,Tragelaphus_strepsiceros,F normal/M normal,0.3978693088734241,0.008194248451876288,229,F normal/M normal,0.3978693088734241,0.397869517643186,0.008194082325670898
Varecia variegata,Varecia_variegata,F normal/M normal,-0.01211555299559901,0.002979884199169171,230,F normal/M normal,0.01211555299559901,0.04462353814018754,0.0011354106674095672
Vulpes vulpes,Vulpes_vulpes,F normal/M normal,0.05532912959462757,0.006295597239096212,231,F normal/M normal,0.05532912959462757,0.07810548201600465,0.0032564434998428784
Zalophus californianus,Zalophus_californianus,F normal/M normal,0.15030784354188695,0.003319136563515307,232,F normal/M normal,0.15030784354188695,0.1504717624152511,0.003269833109375901
Aonyx cinerea,Aonyx_cinerea,F normal/M hornomal,-0.2804462776984631,0.027694429217663425,233,NA,0.2804462776984631,0.28675591885954926,0.02411558689160249
Lemur catta,Lemur_catta,F normal/M hornomal,0.03159149956895101,0.06781893293910563,234,NA,0.03159149956895101,0.20931265723389575,0.025005167305806313
Lycaon pictus,Lycaon_pictus,F normal/M hornomal,-0.20042996440884844,0.009898447395910219,235,NA,0.20042996440884844,0.202054699262948,0.009244516534602116
Saguinus imperator,Saguinus_imperator,F normal/M hornomal,-0.1657580559421079,0.041602007407186906,236,NA,0.1657580559421079,0.2137083217315629,0.023406493739572685
Saguinus oedipus,Saguinus_oedipus,F normal/M hornomal,-0.29809635875561624,0.06105237498615285,237,NA,0.29809635875561624,0.3254566491846869,0.04399178359098553
Suricata suricatta,Suricata_suricatta,F normal/M hornomal,-0.03007431684554313,0.025057641774398086,238,NA,0.03007431684554313,0.12857460593661543,0.009430677016368254
Giraffa camelopardalis,Giraffa_camelopardalis,F normal/M immunological,-0.009328767792659528,0.05736274493938281,239,F normal/M contraception,0.009328767792659528,0.1912424483323757,0.02087609680375078
Bison bison,Bison_bison,F immunological/M normal,0.43552424059565076,0.00837769122153182,240,F contraception/M normal,0.43552424059565076,0.4355242753968758,0.00837766090797637
Giraffa camelopardalis,Giraffa_camelopardalis,F immunological/M normal,0.40643528907059223,0.006442968460894603,241,F contraception/M normal,0.40643528907059223,0.40643529516584276,0.006442963506244736
Aonyx cinerea,Aonyx_cinerea,F hornomal/M hornomal,-0.10397105214810996,0.03343522222774553,242,F contraception/M contraception,0.10397105214810996,0.16886495526810835,0.015729828794830297
Lemur catta,Lemur_catta,F hornomal/M hornomal,0.2208005606032688,0.07003170838540573,243,F contraception/M contraception,0.2208005606032688,0.2806597242372496,0.040014715139194516
Lycaon pictus,Lycaon_pictus,F hornomal/M hornomal,-0.41567875188053427,0.023989877158898762,244,F contraception/M contraception,0.41567875188053427,0.41602501667449615,0.023701887424842753
Saguinus imperator,Saguinus_imperator,F hornomal/M hornomal,0.035791335706832975,0.04910573771725935,245,F contraception/M contraception,0.035791335706832975,0.17911095268242333,0.018306024058133287
Saguinus oedipus,Saguinus_oedipus,F hornomal/M hornomal,-0.049172716752542193,0.06592802409353449,246,F contraception/M contraception,0.049172716752542193,0.20861386092684914,0.024826237195553474
Suricata suricatta,Suricata_suricatta,F hornomal/M hornomal,0.09732473125142575,0.030287708924580534,247,F contraception/M contraception,0.09732473125142575,0.16002326699316183,0.014152366258578027
Giraffa camelopardalis,Giraffa_camelopardalis,F immunological/M immunological,0.12410977256385339,0.05635186640327645,248,F contraception/M contraception,0.12410977256385339,0.21471847202800157,0.025651079819088183
