"species","Female_None_N","Female_None_Mean","Female_None_SE","Female_Hormonal_N","Female_Hormonal_Mean","Female_Hormonal_SE","Female_Surgical_N","Female_Surgical_Mean","Female_Surgical_SE","Male_None_N","Male_None_Mean","Male_None_SE","Male_Surgical_N","Male_Surgical_Mean","Male_Surgical_SE","Male_Hormonal_N","Male_Hormonal_Mean","Male_Hormonal_SE"
"Didelphis virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,389,1.56403554355239,0.0538188322291917,54,1.71173772044618,0.123700505600285,NA,NA,NA
"Dolichotis patagonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,1744,5.30253320601727,0.134934991036436,107,5.81255146823674,0.572544077119119,NA,NA,NA
"Eidolon helvum",548,16.7457745165928,0.435541997848825,NA,NA,NA,92,19.7008173074194,1.01217250852824,493,14.0471871513359,0.41499662321484,164,15.7468983831727,0.756489045981401,NA,NA,NA
"Equus caballus",NA,NA,NA,NA,NA,NA,NA,NA,NA,543,19.6515594914207,0.75582402659642,89,18.4515815167006,1.43953658410652,NA,NA,NA
"Equus quagga",NA,NA,NA,NA,NA,NA,NA,NA,NA,235,13.1693497205169,0.889527737768815,50,21.4849279583501,2.4251074100396,NA,NA,NA
"Erythrocebus patas",305,11.9436242996808,0.507628297854819,44,13.9129488515047,1.35316334579374,NA,NA,NA,233,10.9120065989675,0.650695627162812,36,10.2234904587139,1.41170087654268,NA,NA,NA
"Eudorcas thomsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,358,5.15030594442817,0.28624509496627,56,7.96898102014143,0.848589805395824,NA,NA,NA
"Eulemur macaco",131,11.0519032942607,0.831479391503868,44,15.2855769094323,2.01853321410443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felis catus",NA,NA,NA,NA,NA,NA,NA,NA,NA,476,12.37283555162,0.690607294708154,76,12.7483018089391,1.41411508843275,NA,NA,NA
"Giraffa camelopardalis",362,11.2784810784408,0.437269763503699,48,16.4563692836532,1.6223278169284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hemitragus jemlahicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,298,7.43743998902878,0.408633762846795,36,7.15389915240642,0.987114390022044,NA,NA,NA
"Hydrochoerus hydrochaeris",1867,6.09365582560836,0.108185121925107,41,5.71140329563656,0.596602651832945,NA,NA,NA,1513,5.59346463557158,0.122841421621808,121,5.49128924936807,0.381611957293485,NA,NA,NA
"Kobus megaceros",NA,NA,NA,NA,NA,NA,NA,NA,NA,332,6.25889785963947,0.32828013634179,70,7.20554916080533,0.763622262933466,NA,NA,NA
"Lama glama",NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,14.0444515450259,0.373984111967708,219,13.0100834894442,0.782204883134064,NA,NA,NA
"Lama guanicoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,346,11.6540051126408,0.642588607501737,52,11.68687687275,1.60800622355648,NA,NA,NA
"Lemur catta",3810,15.0286911277665,0.220301452354858,485,16.4421080140873,0.681836922841081,61,14.8811229036412,1.4782934874016,3789,15.6969287677489,0.227738867799991,429,17.3037363742333,0.825961483783377,NA,NA,NA
"Leontopithecus chrysomelas",346,8.60367952559185,0.354307810472309,87,10.6348559363533,0.775339089504891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leontopithecus rosalia",280,8.35310972619263,0.378897384317409,164,10.2499982008049,0.535040018310307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptailurus serval",516,12.3522894094465,0.423392714927815,39,11.3734461089543,1.3857565387696,38,14.3812515664159,1.44105799822641,439,11.3625841442701,0.347882447793068,62,13.5964976531055,0.772401900881311,NA,NA,NA
"Lycaon pictus",328,7.07783391525785,0.241151883633592,79,7.4724516012203,0.54081019812816,74,8.27427795364357,0.539613564717052,312,5.14092021943536,0.151591481152156,NA,NA,NA,30,5.05332899528128,0.512167964561988
"Lynx lynx",NA,NA,NA,NA,NA,NA,NA,NA,NA,154,7.51407062727516,0.366967180706593,23,8.15057796237261,0.815426524706846,NA,NA,NA
"Lynx rufus",188,12.2993000286367,0.453039250695156,NA,NA,NA,44,12.1641582872537,0.842507757538495,233,14.1265645226331,0.540155327851344,76,16.5041967130607,0.774313379436036,NA,NA,NA
"Macaca fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,362,11.6922879336607,0.858676151328225,71,13.5504021005124,2.43701171542339,NA,NA,NA
"Macaca fuscata",398,17.0071291235814,0.585559647909558,82,16.0902608158886,1.04491550485371,NA,NA,NA,261,14.1126363707505,0.801103063237155,95,15.9609031011595,1.38894006654749,NA,NA,NA
"Macaca leonina",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,14.7019575053809,2.92233832556741,46,11.4004425873183,2.74248203040168,NA,NA,NA
"Macaca mulatta",NA,NA,NA,NA,NA,NA,NA,NA,NA,340,16.3817646108971,0.903382660759596,119,21.9632726673827,1.8517888215836,NA,NA,NA
"Macaca nemestrina",177,13.5114008400958,0.928431624441744,30,12.4758486671261,2.05757321117801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macaca nigra",158,13.483374171589,0.831720887124213,73,13.2870506296744,1.20731543121036,NA,NA,NA,150,10.8692881298167,0.743666955574096,58,8.9711749051449,1.11953360585517,NA,NA,NA
"Macaca silenus",305,16.5548823650048,0.740352285475235,80,17.3970406527537,1.6883960731152,NA,NA,NA,263,12.5427578012,0.687901519610489,46,13.3584719333789,1.53350284301611,37,13.8020606303537,2.07352487274087
"Macaca sylvanus",494,12.9255664075955,0.517481353099686,237,15.1226207473296,0.833827461804617,NA,NA,NA,389,11.4960380746267,0.576870618139507,235,16.6680522273437,1.25421533007497,NA,NA,NA
"Macropus fuliginosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,389,6.28949263214034,0.350261465568813,89,7.69824511880991,0.780957384978285,NA,NA,NA
"Macropus giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,425,6.56712357317396,0.307059879844782,91,7.93489563874325,0.604919647027948,NA,NA,NA
"Mandrillus sphinx",375,15.3097331576297,0.619365768295324,207,18.0952416497576,0.849732344644375,NA,NA,NA,393,13.1949623145321,0.555805681866532,81,13.6098058562052,1.09010975480845,38,12.0952148860195,1.61572153421433
"Mephitis mephitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,5.09735670394217,0.135355615233001,113,4.89603651193141,0.231842789561774,NA,NA,NA
"Mungos mungo",NA,NA,NA,NA,NA,NA,NA,NA,NA,710,9.3916980898497,0.278780789582643,48,8.0175837515017,1.04832651454805,NA,NA,NA
"Muntiacus reevesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,299,5.91789405633677,0.276185355609069,64,7.48194486555507,0.782700851023897,NA,NA,NA
"Mustela nigripes",203,2.1900705592614,0.0932823929616233,NA,NA,NA,40,2.24250403758704,0.17103543498012,423,2.61299882635715,0.0773288506551407,52,2.66352567611505,0.169901714422073,NA,NA,NA
"Myocastor coypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,221,2.89614924452045,0.203073920459361,38,2.82241511161905,0.459628025773209,NA,NA,NA
"Nasua narica",NA,NA,NA,NA,NA,NA,NA,NA,NA,122,8.5829609052785,0.471674658388939,34,7.48537702421142,0.698612688960236,NA,NA,NA
"Nasua nasua",1428,9.82046111622512,0.152807977605596,39,6.997920678896,0.671575899502373,41,9.46838938711092,0.867052672192132,928,8.38067748185845,0.185926804177324,224,9.5645803776247,0.384255991306996,NA,NA,NA
"Nomascus leucogenys",66,25.0190951042452,2.24243747969337,50,25.1020539153217,2.62826347311042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notamacropus parma",NA,NA,NA,NA,NA,NA,NA,NA,NA,748,4.66358241759504,0.156440037704606,43,6.03158416756534,0.711682814263041,NA,NA,NA
"Notamacropus rufogriseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,2869,5.43265299480642,0.105887845970127,620,6.39174938049934,0.255561459542776,NA,NA,NA
"Octodon degus",502,4.20218980533635,0.147513437825357,83,5.59118550762854,0.438574899352032,NA,NA,NA,363,3.64334947727901,0.148331964881968,175,4.12033108765932,0.249562232323629,NA,NA,NA
"Odocoileus virginianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,270,8.00478220881896,0.530760818325312,39,11.6045369093478,1.6660200736129,NA,NA,NA
"Oryctolagus cuniculus",493,4.62403728851923,0.179981293713978,NA,NA,NA,42,5.75941161739256,0.643256386335696,312,5.15257413633577,0.227136912836665,87,5.06228149126079,0.420366502116783,NA,NA,NA
"Oryx dammah",2407,10.6930492207497,0.141378331276703,36,11.2741882955756,1.13875380280511,NA,NA,NA,1818,8.98186583133753,0.209645887935493,172,11.4130228046095,0.659770415755475,NA,NA,NA
"Osphranter rufus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,5.70307174013477,0.119613068820472,221,6.92539565551042,0.341124190444588,NA,NA,NA
"Ovis aries",NA,NA,NA,NA,NA,NA,NA,NA,NA,558,7.84209629503192,0.295324538444031,58,7.56902462834238,0.76297833014639,NA,NA,NA
"Pan troglodytes",603,28.3072945826333,0.914841160044762,359,32.8351993404152,1.38496467734637,49,32.244612313728,2.62254126499098,430,22.3930412707128,0.918798586183762,226,30.2017013802846,1.95207594401078,NA,NA,NA
"Panthera leo",1307,11.6803570935191,0.194152405893692,289,13.2166823603837,0.413486244179135,152,12.486300908485,0.454559181162839,1311,13.4395714793069,0.221480991947037,177,13.0621286806615,0.474161759151281,NA,NA,NA
"Panthera onca",374,14.7564902105507,0.364323941119925,35,14.6054800827985,0.960340502858223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera tigris",551,10.9307416154967,0.271077400647864,NA,NA,NA,43,12.220976770931,0.763718499338645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papio hamadryas",828,12.2754724315593,0.350808014356946,370,17.6200318316753,0.604841293926187,134,15.4954976959396,0.865418030578779,945,11.7621470316838,0.332236039774514,179,14.0014106609092,0.864431326342267,NA,NA,NA
"Papio papio",188,15.1539475887647,0.777002050081359,41,15.151026559914,1.59067144042569,NA,NA,NA,133,14.2358670017354,0.85064248255479,49,13.5240794716826,1.88370958953251,NA,NA,NA
"Pecari tajacu",NA,NA,NA,NA,NA,NA,NA,NA,NA,322,11.8494153094229,0.498729155972078,77,12.9846101639857,1.04275789655414,NA,NA,NA
"Petaurus breviceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,848,7.06958016419035,0.211457424232764,105,6.66768261490149,0.514113308990237,NA,NA,NA
"Phacochoerus africanus",230,9.19898429340368,0.341786609424306,51,9.59125386378137,0.676251818537138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pithecia pithecia",183,12.0171888782632,0.92672479366023,98,14.737187328546,1.54518708634265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pongo abelii",245,27.6539774251919,1.39924216926039,84,34.0093667415184,2.40679541714314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potamochoerus porcus",321,10.32187353358,0.328439836957073,49,9.87183020710416,0.764880053662651,NA,NA,NA,305,10.2208857239659,0.333521532684404,37,12.1583675773317,0.939703624023867,NA,NA,NA
"Procavia capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,372,4.34334799067129,0.195534491604247,NA,NA,NA,62,4.94132412881343,0.52438827559231
"Procyon lotor",1111,10.485687264724,0.223213512989746,NA,NA,NA,180,11.0189442001619,0.570693065504188,998,8.96232354634775,0.244606100761794,392,11.4388525908866,0.43213088501884,NA,NA,NA
"Pteropus rodricensis",845,10.0601165904539,0.33065139877621,131,12.3090662156536,1.03505686162936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puma concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,315,9.14907923260546,0.254327180146774,60,9.156979807483,0.501659244107989,NA,NA,NA
